5-hiaa	acide 5-hydroxyindolacétique
5-ht	5-hydroxytryptamine 
5-ht	sérotonine
a1at	alpha-1-antitrypsine
a1at	a1-antitrypsine
aa	aorte ascendante
aa	affection actuelle
aa	acide aminé
aa	antiarthrosique
aaa	anévrisme de l’aorte abdominale
aab	abdomen à blanc
aac	allergies alimentaires croisées
aag	asthme aigu grave
aah	allocation aux adultes handicapés
aam	anticorps anti-mitochondries
aan	anticorps anti-nucléaire
aap	antiagrégant plaquettaire
aar	anti-arythmique
aat	alpha-1-antitrypsine
abpa	aspergillose broncho-pulmonaire allergique
ac	arrêt cardiaque
ac	avant le repas (pré-prandial)
ac	anticoagulé
ac	anticorps 
acca	ancien chef de clinique-assistant
acd	acidocétose diabétique
acfa	arythmie complète par fibrillation auriculaire
ace	antigène carcino-embryonnaire
acg	autocontrôle de la glycémie
acm	artère cérébrale moyenne
acomi	artériopathie chronique oblitérante des membres inférieurs
acr	arrêt cardio-respiratoire
acsos	agressions cérébrales secondaires d’origine systémique
acth	adrénocorticotropine 
actp	angioplastie coronarienne transluminale percutanée
ad	jusqu'à
ad	auricola dexter
ad	oreillette droite
ad	atrium droit
adh	hormone antidiurétique
adk	adénocarcinome
adn	acide désoxyribonucléique
ado	anti-diabétiques oraux
adp	adénopathie
adp	adénosine diphosphate
adt	accident du travail
advc	accident de la vie courante
aec	altération de l’état de conscience
aeg	altération de l’état général
aeeh	l'allocation d'éducation de l'enfant handicapé 
aep	angine érythématopultacée
aes	accident d’exposition au sang 
aes	auto-examen du sein
af	antécédent familial
afp	alpha-foetoprotéine
ag	acide gras
ag	anesthésie générale
ag	antigène
agt	amnésie globale transitoire
ahai	anémie hémolytique auto-immune
ai	angor instable
ai	auto-immun
aihp	ancien interne des hôpitaux de paris
ains	anti-inflammatoires non-stéroïdiens
ait	accident ischémique transitoire
ak	akinésie
alat ou alt	alanine aminotransférase
ald	adrénoleucodystrophie
ald	affection de longue durée
alr	anesthésie loco-régionale
ame	aide médicale de l’état
ami	artère mésentérique inférieure
amir	anomalie micro-vasculaire intra-rétinienne
amm	autorisation de mise sur le marché
amo	ablation du matériel d’ostéosynthèse
amp	adénosine monophosphate 
amp	aide médicale à la procréation
amp.	ampoule
ampc	amp cyclique
ams	aire motrice supplémentaire
ams	artère mésentérique supérieure
anca	anticorps anti-cytoplasme des polynucléaires neutrophiles
aomi	artériopathie oblitérante des membres inférieurs
ap	artère pulmonaire
apcn	aspergillose pulmonaire chronique nécrosante
apgar	apparence, pouls, grimace, activité, respiration
api	aspergillose pulmonaire invasive
app	appendicectomie
app	appendicite
apsi	atrésie pulmonaire à septum intact
apso	atrésie pulmonaire à septum ouvert
apud	groupe de cellules captant et décarboxylant des précurseurs d’amines
ar	autosomique récessif
ara2	antagoniste des récepteur de l’angiotensine ii
arh	agence régionale d’hospitalisation
arm	angio-irm
arn	acide ribonucléique
arnm	arn messager
as	aide-soignant
as	(auricula sinister) oreillette gauche, atrium gauche
asa	american society of anesthesiologists pour la classification du risque opératoire
asat	aspartate aminotransférase
asc	aire sous la courbe
ash	agent des services hospitaliers
asia	anévrisme du septum inter-auriculaire; 
asia	score asia
aslo	antistreptolysine o
asmr	amélioration du service médical rendu
asp	abdomen sans préparation
asp	avortement spontané précoce
ast	aspartate aminotransférase
at	arrêt de travail
at1	angiotensine i
at2	angiotensine ii
atc	angioplastie trans-coronarienne
atcd	antécédents
atl	angioplastie transluminale
atp	adénosine triphosphate
ats	antithyroïdiens de synthèse
av	acuité visuelle
avb	accouchement par voie basse
avc	accident vasculaire cérébral
avf, avl, avr	dérivations électrocardiographiques unipolaires
avk	anti-vitamine k
avp	accident sur la voie publique
avq	activités de la vie quotidienne
baar	bacilles acido-alcoolo-résistants
bat	biopsie artère temporale ? maladie de horton
bav	bloc auriculo-ventriculaire
bav	baisse de l’acuité visuelle
bav	bas à varice
bb	bébé
bbd	bloc de branche droit
bbg	bloc de branche gauche 
bbk	signe de babinski
bbs	maladie de besnier-boeck-schaumann 
bbs	sarcoïdose
bcg	bacille de calmette et guérin
bd	broncho-dilatateur
bda	bouffée délirante aigu?
bdc	bruit du cœur
bea	bon entrée d’air 
beax2	bon entrée air pour les deux poumons
beg	bon état général
bgn	bacille gram négatif
bgp	bacille gram positif
bha	bruits hydro-aériques
bhd	buprénorphine haut dosage 
bhd	subutex®
bhe	barrière hémato-encéphalique
bhr	bactéries hautement résistantes
bid	deux fois par jour
bip	diamètre bipariétal
bk	bacille de koch
blse	bêtalactamases à spectre élargi ou étendu
bm	biopsie médullaire
bm	brûlures mictionnelles
