count;token;matched
8;2000;1000 20000
8;alcolique;alcoolique
8;alcoolo;alcool
8;artheriopathie;arteriopathie
8;auriculo;auricule
8;choque;chique
8;colo;coco col coli colon cols coro
8;demnce;demence
8;epenchement;epanchement
8;hypertention;hypertension
8;inssuffisance;insuffisance
8;lepaule;epaule
8;lethmoide;ethmoide
8;lhypopharynx;hypopharynx
8;loeil;oeil
8;meti;meta muti
8;mitro;metro vitro
8;multiorgane;multi-organe multiorganes
8;mutiviscerale;multiviscerale
8;oxygeno;oxygene
8;respiratoir;respiratoire
8;rspiratoire;respiratoire
8;tamponade;tamponnade
7;cance;cancer canne canoe
7;cardiaq;cardia cardial
7;cardiopatie;cardiopathie
7;cerbral;cerebral
7;comorbidites;comorbidite
7;defaiilance;defaillance
7;denutition;denutrition
7;dun;din don du due dur gun
7;dune;due une
7;encephalopatie;encephalopathie
7;hepathique;hepatique
7;ischiemie;ischemie
7;lepiglotte;epiglotte
7;liberkuhnien;lieberkuhnien
7;lnh;ldh lmnh lnmh nh
7;luretere;uretere
7;mett;meat meta rett
7;mie;amie lie mce mi mid miel mig mine mise miu mte vie
7;moderes;modere moderee
7;parkinsonnien;parkinsonien
7;peri;per pere
7;respiatoire;respiratoire
7;respiraoire;respiratoire
7;sever;lever severe
7;spino;spina
7;tous;mous sous tonus tour toux
7;ttt;ptt stt tnt tvt vtt
6;2eme;3eme 5eme 6eme 8eme veme
6;acido;acide
6;aique;aigue tique
6;alcoolotabagique;alcoolo-tabagique
6;aortobifemoral;aorto-bifemoral
6;aortocoronarien;aorto-coronarien
6;arrret;arret
6;arrte;aorte arete arrete
6;ave;ace age ane av avc avec avh avi avk avp axe cave dve gave
6;bav3;bav bavc
6;bilat;bilan
6;cardioembolique;cardio-embolique
6;dehydratation;deshydratation rehydratation
6;demance;demande demence
6;detress;detresse
6;dibete;diabete
6;echapement;echappement
6;ete;et mte pte rete tete
6;frontotemporale;fronto-temporale
6;iinsuffisance;insuffisance
6;insuffsance;insuffisance
6;insuffusance;insuffisance
6;lheroine;heroine
6;loreille;oreille
6;majeures;majeure majeurs
6;muliviscerale;multiviscerale
6;multimetastatiques;multimetastatique
6;paliatifs;palliatifs
6;pancres;pancreas
6;pneumopatie;pneumopathie
6;pneumopthie;pneumopathie
6;preuve;epreuve
6;resuscitation;ressuscitation
6;semaine;semaines
6;sousdural;sous-dural
6;staphyloccoque;staphylococoque staphylocoque
6;suspiscion;suspicion
6;toleree;tolere
6;toubles;troubles
6;tri;cri sri ti tr vri
6;vers;vars vems vera vrs
5;alccolique;alcoolique
5;alccolisme;alcoolisme
5;associees;associee
5;ballistique;balistique
5;brochique;bronchique
5;brochopulmonaire;bronchopulmonaire
5;budd;rudd
5;cahexie;cachexie
5;capsulo;capsule
5;cardirespiratoire;cardiorespiratoire
5;cardopathie;cardiopathie
5;chimiotherapies;chimiotherapie
5;cirhhose;cirrhose
5;corticodependante;cortico-dependante corticodependance corticodependant
5;craniocerebral;cranio-cerebral
5;decalage;decapage
5;decede ;decede decedee
5;decopensation;decompensation
5;defaiillance;defaillance
5;defaillence;defaillance
5;dela;delta dmla
5;devenu;detenu revenu
5;diabet;diabete
5;diarhee;diarrhee
5;doute;doite douce douve route toute voute
5;dt2;d12 d2 dt dts t2
5;etre;atre entre
5;facon;macon
5;focal;focale local vocal
5;hemoptisie;hemoptysie
5;hepathopathie;hepatopathie
5;importantes;importante
5;inattendu;inattendue
5;insufficance;insuffisance
5;insuffisanc;insuffisance insuffisant
5;intersticielle;interstitielle
5;intraalveolaire;intra-alveolaire
5;jour;cour four joue jours pour tour
5;lantre;antre
5;levolution;evolution
5;lhospitalisation;hospitalisation
5;lintestin;intestin
5;listhme;isthme
5;lorigine;origine
5;maldie;maladie
5;memebres;membres
5;metastastes;metastases
5;metatstase;metastase
5;minime;minima minimes
5;mitroaortique;mitro-aortique
5;nov;nav non novo
5;operes;opere operee
5;oxygenodependance;oxygeno-dependance
5;possibilite;possibilites
5;posttabagique;post-tabagique
5;pris;bris gris iris plis pres prise
5;radiotherape;radiotherapie
5;respiratoie;respiratoire
5;rytmique;rythmique
5;schyzophrenie;schizophrenie
5;spetique;spatique
5;survenu;survenue
5;temporoparietal;temporo-parietal
5;tenu;genu
5;type2;type type1
5;ulcero;ulcer ulcere
5;vasc;vac
4;4eme;3eme 5eme 6eme 8eme veme
4;acec;acc ace avec cec
4;acident;accident
4;acv;ac aca acc ace acm acp acr act av ccv
4;adnocarcinome;adenocarcinome
4;aggressif;agressif
4;aleration;aeration alteration
4;angiocolite;angiocholite
4;antecedant;antecedent
4;arithmie;arythmie
4;art;act adt ait ant ara arc arx at atrt hrt rt
4;astme;asthme
4;auricullaire;auriculaire
4;bipulmonaire;bi-pulmonaire
4;cadiaque;cardiaque
4;cardiorenal;cardio-renal
4;cardiorespiratoir;cardiorespiratoire
4;cerabrale;cerebrale
4;cerebale;cerebrale
4;chimioembolisation;chimio-embolisation
4;chirugie;chirurgie
4;chos;choc chocs clos
4;cirrose;cirrhose
4;coc;cec chc choc co co2 coco col cou cpc loc toc
4;comme;homme pomme
4;decompenstion;decompensation
4;deglutiton;deglutition
4;denutriton;denutrition
4;dernier;derniere
4;desydratation;deshydratation
4;emcombrement;encombrement
4;envahissment;envahisement envahissement
4;epidemoide;epidermoide
4;epidermide;epidermoide
4;etait;etat
4;ethilique;ethylique
4;ethylotabagique;ethylo-tabagique
4;fev;fav fer feu fevg fiv fv gev
4;fischer;fisher
4;fonctionelle;fonctionnelle
4;gir1;gir
4;goujerot;gougerot
4;grabattaire;grabataire
4;grapataire;grabataire
4;hemmorragique;hemorragique
4;hemodinamique;hemodynamique
4;hemtome;hematome
4;hydro;hydroa
4;hyperamoniemie;hyperammoniemie
4;icardiaque;acardiaque cardiaque
4;ichemique;ischemique ishemique
4;ileo;ile ileon
4;immuno;immune immuns
4;immunosupression;immunosuppression
4;importants;important importante
4;intracrannienne;intracranienne
4;lache;gache hache lacher tache vache
4;lalcool;alcool
4;lampoule;ampoule
4;langle;angle lange langue sangle
4;latat;lata
4;lequilibre;equilibre
4;lextremite;extremite
4;lhote;hote
4;lhumerus;humerus
4;linsuffisance;insuffisance
4;lodontoide;odontoide
4;lymphone;lymphome lymphose
4;mamaire;malaire mammaire
4;maniacodepressive;maniaco-depressive
4;memebre;membre
4;merastases;metastases
4;merckel;meckel merkel
4;metastasees;metastasee metastases
4;metastastique;metastasique metastatique
4;metastatse;metastase metastatase
4;metstases;metastases
4;mutiples;multiples
4;oligoanurique;oligo-anurique
4;operees;operee
4;para;ara paa par
4;paroie;paroi parois parole partie
4;paroxistique;paroxystique
4;pathie;apathie
4;pnemopathie;pneumopathie
4;pneumopahie;pneumopathie
4;polyomyelite;poliomyelite
4;progession;progression
4;pulmomaire;pulmonaire
4;que;due tue vue
4;qui;equi lui qi
4;rabdomyolyse;rhabdomyolyse
4;refracataire;refractaire
4;respiratoite;respiratoire
4;respitatoire;respiratoire
4;retrecissemnt;retrecissement
4;sept;sep
4;septis;sepsis
4;spondilodiscite;spondylodiscite
4;spontanne;spontane spontanee
4;stade4;stade
4;std;sad smd st st- st+ sth stt
4;stop;stope
4;suspectee;suspecte suspectes
4;sydrome;hydrome syndrome
4;synrome;syndome syndrome
4;tbles;toles
4;teminale;seminale terminale
4;terrminale;terminale
4;traitees;traitee
4;trb;hrb tr
4;tumeure;tumeur tumeurs
4;vaculaire;maculaire vacuolaire vasculaire
4;veille;vieille ville
4;vicerale;viscerale
4;zencker;zenker
3;170;10 100 17p 17q 70
3;180;10 100 18 18% 18q 380 80
3;aciident;accident
3;actifs;actif
3;adencarcinome;adenocarcinome
3;adeno-carcinome;adenocarcinome
3;adenocarinome;adenocarcinome
3;adenocrcinome;adenocarcinome
3;agravation;aggravation
3;aigie;aigue algie
3;aiguee;aigue aigues
3;alcolisme;alcoolisme
3;ana;aa aaa aca ada afa an anal anca ane ans ant ara asa ata gna pna
3;annoncee;annonce
3;antiaggregant;antiagregant
3;anxiodepression;anxio-depression
3;aortocoronariens;aorto-coronariens
